,Date,price,upper_channel,lower_channel,high,low
0,1993-01-04 00:00:00-05:00,1.649200677871704,,,1.661309791096525,1.637092155890525
1,1993-01-05 00:00:00-05:00,1.675839900970459,,,1.6806836645141603,1.641935921139121
2,1993-01-06 00:00:00-05:00,1.7242743968963623,,,1.7291181599251644,1.680683485855042
3,1993-01-07 00:00:00-05:00,1.6903704404830933,,,1.741226701041949,1.6855266773975135
4,1993-01-08 00:00:00-05:00,1.6879481077194214,,,1.7097441527299366,1.670996416591508
5,1993-01-11 00:00:00-05:00,1.7266960144042969,,,1.7291181915848377,1.6709965816365
6,1993-01-12 00:00:00-05:00,1.7388051748275757,,,1.7678659806081738,1.7194313043071772
7,1993-01-13 00:00:00-05:00,1.7678651809692385,,,1.787239042726472,1.7097435956975373
8,1993-01-14 00:00:00-05:00,1.7678651809692385,,,1.8211430051799609,1.7533344890296432
9,1993-01-15 00:00:00-05:00,1.7388051748275757,,,1.7630222173562704,1.685526735274676
10,1993-01-18 00:00:00-05:00,1.7291173934936523,,,1.7388043240139437,1.70974353245307
11,1993-01-19 00:00:00-05:00,1.712165594100952,,,1.7291178750434075,1.7097440086073106
12,1993-01-20 00:00:00-05:00,1.712165594100952,,,1.7242741128126422,1.700057075389262
13,1993-01-21 00:00:00-05:00,1.733961582183838,,,1.7436485183971555,1.6806837286324243
14,1993-01-22 00:00:00-05:00,1.7315394878387451,,,1.7484917690484922,1.7194309689361365
15,1993-01-25 00:00:00-05:00,1.7145873308181765,,,1.7484918956934106,1.700057225331315
16,1993-01-26 00:00:00-05:00,1.7049005031585691,,,1.7436482418667183,1.695213568481532
17,1993-01-27 00:00:00-05:00,1.6709970235824585,,,1.7000578362426428,1.6564663216304931
18,1993-01-28 00:00:00-05:00,1.6855263710021973,,,1.6879479564829971,1.6419354673738802
19,1993-01-29 00:00:00-05:00,1.675839900970459,,,1.7049007085017387,1.6613097928266405
20,1993-02-01 00:00:00-05:00,1.6952130794525146,,,1.7049000113351005,1.6564653519221713
21,1993-02-02 00:00:00-05:00,1.7242743968963623,,,1.7339613317103868,1.6903704206690664
22,1993-02-03 00:00:00-05:00,1.712165594100952,,,1.7484917414795047,1.704900246376545
23,1993-02-04 00:00:00-05:00,1.6467783451080322,,,1.700056763659685,1.6370914136662202
24,1993-02-05 00:00:00-05:00,1.7242743968963623,,,1.7339613317103868,1.5935010725288214
25,1993-02-08 00:00:00-05:00,1.6613094806671145,,,1.7242742561986706,1.6467787840099664
26,1993-02-09 00:00:00-05:00,1.6249834299087524,,,1.6903703863882618,1.6177180811346807
27,1993-02-10 00:00:00-05:00,1.6564656496047974,,,1.6709963456616808,1.6274048487345378
28,1993-02-11 00:00:00-05:00,1.6516225337982178,,,1.6758395730470768,1.6419355998499687
29,1993-02-12 00:00:00-05:00,1.620139479637146,,,1.6516224569364737,1.6128747229466855
30,1993-02-16 00:00:00-05:00,1.5523312091827393,,,1.6225619324170235,1.5450664512566548
31,1993-02-17 00:00:00-05:00,1.5547529458999634,,,1.5741268107009383,1.4966313514970382
32,1993-02-18 00:00:00-05:00,1.5813919305801392,,,1.6031879769309156,1.5305356715821314
33,1993-02-19 00:00:00-05:00,1.545066237449646,,,1.5886571439484227,1.5402224749256048
34,1993-02-22 00:00:00-05:00,1.4869444370269775,,,1.5692830678022915,1.4869444370269775
35,1993-02-23 00:00:00-05:00,1.540222406387329,,,1.5595962731343396,1.4869445684547964
36,1993-02-24 00:00:00-05:00,1.6249834299087524,,,1.6274050157522535,1.525692497889522
37,1993-02-25 00:00:00-05:00,1.634669303894043,,,1.6467778164986782,1.5983431748369523
38,1993-02-26 00:00:00-05:00,1.6152963638305664,,,1.646778750964598,1.6080310156477835
39,1993-03-01 00:00:00-05:00,1.5789705514907837,,1.4869444370269775,1.622562058656831,1.5741273791632486
40,1993-03-02 00:00:00-05:00,1.639513611793518,,1.4869444370269775,1.6419357889922477,1.5741272435433205
41,1993-03-03 00:00:00-05:00,1.6419352293014526,,1.4869444370269775,1.6564653313229394,1.6177176042744497
42,1993-03-04 00:00:00-05:00,1.6225615739822388,,1.4869444370269775,1.6419354399925137,1.5838138419616894
43,1993-03-05 00:00:00-05:00,1.603187918663025,,1.4869444370269775,1.646778827293128,1.5983441559021538
44,1993-03-08 00:00:00-05:00,1.620139479637146,,1.4869444370269775,1.6370917610685534,1.588657093581318
45,1993-03-09 00:00:00-05:00,1.632248878479004,,1.4869444370269775,1.6467789856719544,1.6225619432691687
46,1993-03-10 00:00:00-05:00,1.6467783451080322,,1.4869444370269775,1.6613090378924371,1.6177175507825965
47,1993-03-11 00:00:00-05:00,1.675839900970459,,1.4869444370269775,1.70005753620168,1.6467790934391793
48,1993-03-12 00:00:00-05:00,1.7242743968963623,,1.4869444370269775,1.7291181599251644,1.6516226814129684
49,1993-03-15 00:00:00-05:00,1.6976349353790283,1.8211430051799609,1.4869444370269775,1.7291179124514056,1.6855264164053807
50,1993-03-16 00:00:00-05:00,1.7000577449798584,1.8211430051799609,1.4869444370269775,1.719431619046616,1.6855270438079322
51,1993-03-17 00:00:00-05:00,1.6540443897247314,1.8211430051799609,1.4869444370269775,1.6952137179204654,1.651622803652894
52,1993-03-18 00:00:00-05:00,1.6516225337982178,1.8211430051799609,1.4869444370269775,1.680683335642965,1.6467787712023296
53,1993-03-19 00:00:00-05:00,1.632248878479004,1.8211430051799609,1.4869444370269775,1.6613096841085089,1.6274051152522842
54,1993-03-22 00:00:00-05:00,1.6152963638305664,1.8211430051799609,1.4869444370269775,1.6274048833061907,1.5983440818185803
