Date,price,SMA20,SMA50,live_pos
2016-03-11 00:00:00-05:00,47.50010681152344,46.43858242034912,46.4365266418457,100000
2016-03-14 00:00:00-04:00,47.5896110534668,46.574181938171385,46.38750350952149,100000
2016-03-15 00:00:00-04:00,47.965538024902344,46.6860631942749,46.36075057983398,100000
2016-03-16 00:00:00-04:00,48.64577865600586,46.77243576049805,46.35968856811523,100000
2016-03-17 00:00:00-04:00,48.92323684692383,46.88297443389892,46.35973251342774,100000
2016-03-18 00:00:00-04:00,47.87601852416992,46.95771045684815,46.35660507202149,100000
2016-03-21 00:00:00-04:00,48.20720672607422,47.01186122894287,46.39351539611816,100000
2016-03-22 00:00:00-04:00,48.39516067504883,47.14119548797608,46.43134101867676,100000
2016-03-23 00:00:00-04:00,48.3056526184082,47.25799922943115,46.46790969848633,100000
2016-03-24 00:00:00-04:00,48.52046203613281,47.352426528930664,46.50024337768555,100000
2016-03-28 00:00:00-04:00,47.920780181884766,47.45267200469971,46.540844955444335,100000
2016-03-29 00:00:00-04:00,48.967979431152344,47.62407283782959,46.57626373291016,100000
2016-03-30 00:00:00-04:00,49.27228546142578,47.73461017608643,46.655448303222656,100000
2016-03-31 00:00:00-04:00,49.43339920043945,47.83664512634277,46.7454972076416,100000
2016-04-01 00:00:00-04:00,49.73771286010742,47.98074722290039,46.83754486083984,100000
2016-04-04 00:00:00-04:00,49.61241912841797,48.13290538787842,46.93259643554688,100000
2016-04-05 00:00:00-04:00,48.833736419677734,48.29088153839111,46.97990455627441,100000
2016-04-06 00:00:00-04:00,49.3349609375,48.44617252349853,47.04612373352051,100000
2016-04-07 00:00:00-04:00,48.74422073364258,48.51867141723633,47.09377433776856,100000
2016-04-08 00:00:00-04:00,48.70841979980469,48.62473430633545,47.15759330749512,100000
2016-04-11 00:00:00-04:00,48.60995864868164,48.68022689819336,47.2045133972168,100000
2016-04-12 00:00:00-04:00,48.914283752441406,48.74646053314209,47.20366714477539,100000
2016-04-13 00:00:00-04:00,49.54080581665039,48.82522392272949,47.2221053314209,100000
2016-04-14 00:00:00-04:00,49.54977035522461,48.87042350769043,47.271115112304685,100000
2016-04-15 00:00:00-04:00,49.809322357177734,48.914727783203126,47.34024536132812,100000
