,Date,pct_change,Volume,SMA50,price,RSI,upper_band,lower_band,middle_band,MACD_line,signal_line,ATR,volume_ma
511,2015-01-13 00:00:00-05:00,-0.005150660095986637,35270600,41.18912109375,40.10668563842773,38.52692615893684,42.15923317184501,39.06028205642648,40.609757614135745,-0.19492086030484757,-0.15760059151806233,0.8335982930316221,24737292.85714286
512,2015-01-14 00:00:00-05:00,-0.008627768250021872,29719600,41.177083282470704,39.76065444946289,32.18880167345962,42.17186581509435,38.9862274466244,40.579046630859374,-0.23926120992518207,-0.17393271519948628,0.8286529580798658,25170971.42857143
513,2015-01-15 00:00:00-05:00,-0.010444192885802672,32750800,41.14831535339356,39.34538650512695,31.424547288658758,42.13442560891172,39.05135052939395,40.592888069152835,-0.3044009641909824,-0.2000263649977855,0.8539886691771115,26693328.57142857
514,2015-01-16 00:00:00-05:00,0.016710817956329338,35695300,41.13046211242676,40.00288009643555,39.29509327260607,42.10700425985064,39.12202711221967,40.614515686035155,-0.299517796127418,-0.21992465122371202,0.8861215171488485,28300292.85714286
515,2015-01-20 00:00:00-05:00,0.0032438803549128536,36161900,41.11021743774414,40.13264465332031,42.81840842986781,42.05379322593481,39.07747889930933,40.56563606262207,-0.2819270554016029,-0.2323251320592902,0.9145472925040582,29851892.85714286
516,2015-01-21 00:00:00-05:00,-0.010131711970459256,39081100,41.06739807128906,39.72603225708008,42.58751490127428,41.98899291612641,38.99174820325835,40.49037055969238,-0.29736860860251824,-0.2453338273679358,0.9225811030387037,31473064.285714287
517,2015-01-22 00:00:00-05:00,0.02635063901360679,35898000,41.04585868835449,40.7728385925293,54.218390722850245,41.88149986157188,39.02570800891152,40.4536039352417,-0.2225719570448632,-0.2407814533033213,0.9367950188102461,32497742.85714286
518,2015-01-23 00:00:00-05:00,0.001060687074858624,26211600,41.02157371520996,40.81608581542969,52.692287906257086,41.66530063617434,39.13203708660399,40.39866886138916,-0.15798423839031983,-0.22422201032072103,0.9133134160590249,32376150.0
519,2015-01-26 00:00:00-05:00,-0.003603187830079624,42525500,40.99469123840332,40.66901779174805,54.50919640857307,41.48197012192947,39.21761064284103,40.34979038238525,-0.11731285685050352,-0.20284017962667755,0.9398849966988675,32579835.714285713
520,2015-01-27 00:00:00-05:00,-0.09253364016734034,169164000,40.89409126281738,36.90576553344727,36.663677200601064,41.946743327661274,38.301248234228375,40.123995780944824,-0.384313375031617,-0.23913481870766545,1.1679047754034038,42059557.14285714
